restName,dish_name,review
US Fried Chicken,spicy chicken sandwich with french fries and soda,the chicken was disgusting.
US Fried Chicken,spicy chicken sandwich with french fries and soda,the best fried chicken I have ever tasted!
US Fried Chicken,spicy chicken sandwich with french fries and soda,this joint(and i use that word like as in BBQ JOINT)has some of the best chicken ever.
US Fried Chicken,spicy chicken sandwich with french fries and soda,"as far as Chicken goes... it's pretty good, especially if you are afraid to fry it like me."
US Fried Chicken,spicy chicken sandwich with french fries and soda,all-in-all a pretty good spot II just pick up a quick gyro or chicken Philly cheese steak sandwich or chicken wings or even just plain Fried Chicken.
US Fried Chicken,spicy chicken sandwich with french fries and soda,the grilled chicken sandwiches are tasty as are the phillies.
US Fried Chicken,spicy chicken sandwich with french fries and soda,the chicken was nicely fried; crispy on the outside and moist on the inside.
US Fried Chicken,spicy chicken sandwich with french fries and soda,my qualm with the chicken was that it wasn't all that seasoned and it tasted a lot of grease.
US Fried Chicken,spicy chicken sandwich with french fries and soda,"this really almost caused me to give them 3 stars instead of 4 because, I believe, if you are a fried chicken joint, your fried chicken better be off the chain."
US Fried Chicken,spicy chicken sandwich with french fries and soda,the seasoned fries that came with the gyro were really good to.
US Fried Chicken,spicy chicken sandwich with french fries and soda,"so of course, I used my handy dandy Yelp app to find the best and closest place for fried chicken."
US Fried Chicken,spicy chicken sandwich with french fries and soda,their French fries are honestly kind of awful.
US Fried Chicken,spicy chicken sandwich with french fries and soda,honestly some of the best fried chicken I've ever had.
US Fried Chicken,spicy chicken sandwich with french fries and soda,"hot fresh, REAL fried chicken in minutes."
US Fried Chicken,chicken gyro with french fries and soda,the chicken was disgusting.
US Fried Chicken,chicken gyro with french fries and soda,the best fried chicken I have ever tasted!
US Fried Chicken,chicken gyro with french fries and soda,this joint(and i use that word like as in BBQ JOINT)has some of the best chicken ever.
US Fried Chicken,chicken gyro with french fries and soda,"as far as Chicken goes... it's pretty good, especially if you are afraid to fry it like me."
US Fried Chicken,chicken gyro with french fries and soda,all-in-all a pretty good spot II just pick up a quick gyro or chicken Philly cheese steak sandwich or chicken wings or even just plain Fried Chicken.
US Fried Chicken,chicken gyro with french fries and soda,the grilled chicken sandwiches are tasty as are the phillies.
US Fried Chicken,chicken gyro with french fries and soda,the chicken was nicely fried; crispy on the outside and moist on the inside.
US Fried Chicken,chicken gyro with french fries and soda,my qualm with the chicken was that it wasn't all that seasoned and it tasted a lot of grease.
US Fried Chicken,chicken gyro with french fries and soda,"this really almost caused me to give them 3 stars instead of 4 because, I believe, if you are a fried chicken joint, your fried chicken better be off the chain."
US Fried Chicken,chicken gyro with french fries and soda,the seasoned fries that came with the gyro were really good to.
US Fried Chicken,chicken gyro with french fries and soda,"so of course, I used my handy dandy Yelp app to find the best and closest place for fried chicken."
US Fried Chicken,chicken gyro with french fries and soda,their French fries are honestly kind of awful.
US Fried Chicken,chicken gyro with french fries and soda,honestly some of the best fried chicken I've ever had.
US Fried Chicken,chicken gyro with french fries and soda,"hot fresh, REAL fried chicken in minutes."
US Fried Chicken,chicken nuggets with french fries,the chicken was disgusting.
US Fried Chicken,chicken nuggets with french fries,the best fried chicken I have ever tasted!
US Fried Chicken,chicken nuggets with french fries,this joint(and i use that word like as in BBQ JOINT)has some of the best chicken ever.
US Fried Chicken,chicken nuggets with french fries,"as far as Chicken goes... it's pretty good, especially if you are afraid to fry it like me."
US Fried Chicken,chicken nuggets with french fries,all-in-all a pretty good spot II just pick up a quick gyro or chicken Philly cheese steak sandwich or chicken wings or even just plain Fried Chicken.
US Fried Chicken,chicken nuggets with french fries,the grilled chicken sandwiches are tasty as are the phillies.
