restName,dish_name,score
US Fried Chicken,spicy chicken sandwich with french fries and soda,"[5.8125, 14]"
US Fried Chicken,chicken gyro with french fries and soda,"[5.8125, 14]"
US Fried Chicken,chicken nuggets with french fries,"[5.8125, 14]"
Queen City Q,st. louis style pork ribs,"[24.3482396688279, 78]"
Queen City Q,eastern nc bbq slaw,"[59.881009765312854, 101]"
Queen City Q,abita root beer,"[28.36252723884303, 36]"
Solstice Tavern,tavern burger,"[3.7456349206349207, 11]"
Solstice Tavern,french fries,"[4.090591397849462, 9]"
Solstice Tavern,highland mill grilled cheese sandwich,"[3.687301587301587, 9]"
Kid Cashew,lunch cilantro chicken salad,"[18.337351945440183, 50]"
Kid Cashew,dinner all natural wood-fired chicken avocado sandwich,"[15.986601307189543, 43]"
Kid Cashew,dinner cilantro chicken salad,"[19.461222519310756, 53]"
Hooters,kid's wings,"[3.377417027417027, 11]"
Hooters,hooters style original wings,"[3.434559884559884, 11]"
Hooters,naked wings,"[3.377417027417027, 11]"
Hooters,hooters smoked wings,"[3.377417027417027, 11]"
Hooters,hooters daytona beach style wings,"[3.434559884559884, 11]"
Hooters,hooters bacon wrapped wings,"[3.377417027417027, 11]"
Hooters,kid's boneless wings,"[3.377417027417027, 11]"
Hooters,boneless wings,"[3.377417027417027, 11]"
Aix en Provence,steak frites lunch,"[1.2916666666666667, 2]"
Aix en Provence,chocolate cake,"[0.75, 2]"
Aix en Provence,lamb tagine,"[0.6642246642246642, 3]"
China Cafe,shrimp with mixed vegetables,"[4.215811965811966, 5]"
China Cafe,"steamed chicken, shrimp and scallops","[3.3333333333333335, 3]"
China Cafe,steamed shrimp,"[3.3333333333333335, 3]"
China Cafe,shrimp with mixed vegetables combo,"[4.215811965811966, 5]"
Dolce Ristorante,italian cheese cake,"[4.213943001443002, 11]"
Dolce Ristorante,gnocchi (only on tuesday),"[22.70568086883876, 34]"
Dolce Ristorante,bolognese,"[2.3678932178932177, 6]"
Bread and  Kabob,small french fries,"[3.440909090909091, 6]"
Bread and  Kabob,french fries,"[3.440909090909091, 6]"
Bread and  Kabob,large french fries,"[3.440909090909091, 6]"
Wild Wing Cafe,party 60 chicken wings,"[4.843347338935574, 17]"
Wild Wing Cafe,sampler 30 chicken wings,"[4.843347338935574, 17]"
Wild Wing Cafe,mini 6 chicken wings,"[4.843347338935574, 17]"
Wild Wing Cafe,full 18 chicken wings,"[4.843347338935574, 17]"
Wild Wing Cafe,12 single chicken wings,"[4.843347338935574, 17]"
The Wok,fried rice lunch combo,"[2.276923076923077, 6]"
The Wok,chicken fried rice combo,"[2.283333333333333, 6]"
The Wok,chicken fried rice,"[2.283333333333333, 6]"
Dilworth Neighborhood Grille,beer cheese pretzel dip,"[11.803571428571427, 22]"
Dilworth Neighborhood Grille,sweet potato fries,"[5.749603174603174, 11]"
Dilworth Neighborhood Grille,seasoned french fries,"[5.249603174603174, 10]"
Charlotte Cafe,chicken delight sandwich,"[1.75, 3]"
Charlotte Cafe,kid's breakfast ham and cheese panini,"[1.4565217391304348, 5]"
Charlotte Cafe,kid's breakfast grilled cheese panini,"[1.4565217391304348, 5]"
Charlotte Cafe,kid's breakfast turkey and cheese panini,"[1.6565217391304348, 6]"
Charlotte Cafe,breakfast special,"[1.4565217391304348, 5]"
The Southern Gourmet,skinny grilled chicken sandwich,"[2.128968253968254, 6]"
The Southern Gourmet,homemade chicken salad du jour sandwich,"[2.128968253968254, 7]"
The Southern Gourmet,buffalo chicken grilled cheese sandwich,"[2.328968253968254, 7]"
