restName,dish_name,review
Mad City Frites,6. isthmus honey mustard sauce,"I KNOW I wrote a review of Mad City Frites a couple of weeks ago.  It's disappeared for some reason.  I'm in a writin' mood, so here goes another.

Interior was spacious, clean and bright, with fun holes in each table for the paper fry-cone holder to sit in.  The lone woman on duty was very nice, and rather excited to bestow the frites upon us!  I take that as a sign of a new business populated by energetic young folk.  Oh, to be in the flower of youth again!

The frites were nice and crispy on the outside, and creamy on the inside, with a sprinkle of season salt to spice them up a bit.  We ended up getting three of the dipping sauces: the garlic, the honey-mustard, and the mad sauce.  The garlic was not super flavorful.  It helped to glob the sauce on each bite.  Perhaps more of this sauce is required to accommodate such globbing.  The other two were much better.  The honey-mustard was nice and tangy-sweet (HM is one of my fave combos), and the Mad sauce was really good too.  It's been a few weeks, so I can't remember what was in it exactly, but it was very flavorful, kind of like sweet pepper maybe?  AGHH my memory!  Anyway, I enjoyed these two sauces a lot.

Several reviewers have dinged this place because the frites are ""too thick.""  I wasn't aware that there were standard specs for this kind of fry.  I LIKE thick-cut fries, and this joint does them well as descibed above.  But then, I also like steak fries, so I guess that makes me, what, a philistine?  Probably!

I guess these sort of one-item menu concepts are au courant.  This one makes a lot of sense for a snack mid-afternoon, as I had.  They are open super-late on weekends, so the other obvious time is after-bar for State Street drunkies.  Whatever floats your boat.

I would go again, and probably will soon as I have been having cravings for fries this week and I have to go downtown every day.  Kinda inevitable!

I've never been to Belgium, so I can't speak to how ""authentic"" they are ( I find this term used as a criticism of restaurants to be tendentious and tiresome anyway) but I can say the frites are plenty tasty and satisfying, the portions are good for one, or to share with a friend (unless you're a fat-ass) and the sauces I've had are a nice tasty addition."
Mad City Frites,6. isthmus honey mustard sauce,"My thoughts on Mad City Frites are pretty similar to what Shruti W. said in her review. The layout is spacious, the ambience is nice, but the frites themselves are lacking. I also felt like they were too thick, and were way too soft than I wanted them to be. I kept hoping to get some crunch in a few of them, but it never happened. Also, while the sauce texture is there, the flavor is not whatsoever. My group ended up getting 4 sauces, and we could not tell the difference between any of them except for the honey mustard. Way too mild of flavor for a sauce that's really thick.

In addition, I feel like the pricing system here needs some improvement. There's two sizes: regular for $4.50, which comes with 1 sauce, and large for $5.50, which comes with two sauces. And then you can get another sauce for $1 (or 3 for $2.50). The large is likely going to be too much for one person to eat (I have a large appetite and finished a large, but my stomach didn't feel great in the end), but getting just 1 sauce is lame (especially with how flavorless they are). So you want to get at least 2. But you feel like you're getting ripped off if you just buy the1 sauce, because you should just get the large then. But if you get the large, then you're going to feel sick/bloated/greasy/fat after you eat it from eating too many fries.  Overall, change the price of extra sauce to 50 cents, because 1) Other places don't charge nearly that much for more sauce (See below), and 2) It would give people incentive to actually get more sauces and not more starch.

And in case you're reading this review because you were searching for places with good fries, here are 3 places that do fries/frites in Madison way better than this place:
Jac's on Monroe Street: You can get a frites basket that has crispier frites, and is the size of MCF's large, for $5, and that comes with an aioli. If you add $1 (the price of 1 sauce at MCF), you get 3 extra sauces, all of which are very tasty. So you can spend $6 at Jac's or $7.50 at MCF for frites and 4 sauces. Easy call to me!
Tipsy Cow on the corner of King/Main: They have a good selection of specialty baskets of fries, ranging from $7-$9. So it's more expensive, but it's meant for sharing, and therefore you get more. Options includes buffalo blue cheese, truffle, carnitas, and many others.
DLUX on MLK Blvd: If you're on more a budget, you can get speciality fries for $3 here for 1, or a basket for $6. Similar to Tipsy Cow, they have Truffle, but they also have sweet potato w/ Sriracha Mayo, a real goodie.

So there you go. In addition, you can get things other than fries at those places, like alcohol and entrees. I would give Mad City Frites a 2.5, but i'm rounding down here because frites are the only thing they do, and I wouldn't put them in the top 5 for Fries in the city, so why I would ever go here?"
Mad City Frites,6. isthmus honey mustard sauce,"The fact that I live around the corner from this place is highly dangerous. So delicious! My favorite sauce is the game day garlic, although the mad city sauce and the beer cheese sauce are delicious and worth a try as well. Crunchy on the outside and soft on the inside, unlike any fries I've had!"
Mad City Frites,6. isthmus honey mustard sauce,"Simple menu--potatoes and poutine only, and they do it well!

Order your fries (small or large) and choose your sauce. The large included 2 sauces, and ketchup, mayo, and malt vinegar were available at each table. My sauces were garlic and sriracha mayo. Personally, I would have preferred a less citrusy/bright garlic sauce with more of a roasted garlic flavor. My fries were made to order.  For to-go orders, they'll put your cone in a paper bag. 

As for the fries themselves, they were very good.  For frites, a thinner fry than what's available at Mad City is more my preference, although these were excellent.

Restaurant has wi-fi and the tables have handy holes so that you can have your cone upright when you eat. Tip--the lighting is a bit dim. I was almost positive that they were closed when I walked by.

Overall, I recommend!"
Mad City Frites,6. isthmus honey mustard sauce,"Mad City Frites is definitely a nice addition to State St, especially as a place to hang out and catch up with friends or study. They have games, plenty of space, outlets everywhere, and a nice ambiance. I was not a fan of the frites, however.

The place is small but spacious, with some fun little nooks facing State St (perfect for people watching!) and a few comfortably sized tables. You order frites or poutine at the counter, with your choice of sauces (1 or 2 depending on the size of your order). The food is made to order. I tried a large order, which comes with 2 sauces. The sauces I chose were garlic and the Mad Sauce (a tangy-sweet sauce). 

The frites were way too large for my tastes. They were too big and thick to get crispy at all, and after eating a few it was like just eating starch. This could have been redeemed with flavorful sauces, but I found the sauces lightly seasoned and very heavy. Both were aioli-type sauces and were more sweet than savory, which was surprising for the garlic sauce. 

I think Mad City Frites could benefit from offering a thinner cut fry for those of us who enjoy crispier frites. I also feel that beer would be an awesome addition to a place like this, so I hope they are working toward getting an alcohol license! I did enjoy the ambiance here, and would recommend it as a spot to meet up with friends if you don't mind a thicker cut fry."
Mad City Frites,6. isthmus honey mustard sauce,"Frites is on. 

What can you get? Thick cut double fried fries. With sauces to choose from.

The venue was clean and spacious and I loved the cut out holes in the table so we can put our fries and sauces. 

I wasn't very impressed by the mad sauce but I was pleasantly surprised by how good the fries were, despite being really thick. There was a nice crisp on the outside, and lots of flesh in the inside but yet was not too dense. 

Poutine was not to my liking. Why isn't the cheese curds more melty... And the sauce was too salty with the fries. Need to adjust the amount of salt.

As for variety.. How about some curly fries? Waffle fries? Potato chip? Thin cut frites? 

And I just really want aioli to go with my frites. Thank you very much. 

Verdict: Try it! Great place for snack, but I wish there was more variety on the menu."
Mad City Frites,6. isthmus honey mustard sauce,Freshly cut frites served up with a choice of 14 sauces (beyond ketchup & mustard). All ages & demographics enjoying a stroll on State Street for a crispy treat. A little salty for my taste that took away from the sauces. I will be back to try more sauces.
Mad City Frites,6. isthmus honey mustard sauce,"If you're craving French fries and like sauce options then come to Mad City Frites. They're some decent quality fries and have a nice quiet atmosphere. There are some party games on a shelf which we made use of and it sends like a good environment to bring your own game and friends to. Maybe make this a stop on your walk down State Street and get some small food items from other restaurants too, like a bar hop for food!"
Mad City Frites,6. isthmus honey mustard sauce,"So delicious! The frites were thick cut, crispy on the outside, soft on the inside and piping HOT! The saracha sauce was amazing! They need to bottle that so that I can put it on everything! It is mild but flavorful, not overly spicy. We also tried the garlic lime sauce. It was thick with a mild garlic flavor and the bright touch of lime. Also good, but that saracha sauce... OH MY!  This was my first time trying poutine, so I don't have anything to compare but it was spectacular. Rich gravy and soft cheese curds. It was salty so I can't wait for them to have some beer to pair it with. 
Service was quick and they came to check on us twice. Exceptional service, food, and attention to detail. In fact, I think one of my favorite parts, besides the food, were the holes cut into the tables so that you can place your cone of frites upright. 

I'll be back!"
Mad City Frites,6. isthmus honey mustard sauce,"The barbecue sauce is delicious! Great concept for a quick bite! The tables are special with holes for your fries cone. They have some board games by the window so you can people watch and play as you eat! Very chill atmosphere. I wish they gave me more sauce, but at least the ketchup is free."
