restName,dish_name,review
El Pastor,side salad,"I love tacos. Plain and simple. And that is how I like my tacos too; plain and simple; your taco meat (or vegetables for you non-animal eating people) with onions and cilantro. El Pastor gives it to you just like that. The tacos I ate yesterday were a 4-5. That is the truth. I was hungry and I wanted tacos. They themselves were brilliant. However, if I am going to rate the entire overall experience I am giving my experience from yesterday a 3/5. Maybe it was because I was crabby from being up until 4 am, but I felt like I was waiting for an eternity for my food to arrive. When I arrived to El Pastor we were seated but it took a while for our waitress to come greet us, and I actually believe it was the host that eventually came back to take our drink order and not even our waitress. For 2 pm on a Sunday afternoon, there were people in there but not enough people in there for me to have to wait as long as I did. 

I do believe my linner? Lunner? (lunch and dinner?) was the same as the man-friends. I think we both had the pork, chicken, and chorizo tacos. Bless those tacos. I would bill the chicken tacos as my least favorite of the three yesterday with the chorizo being the stand-out star. It was spiced beautifully and served at a perfect temperature. It was slightly more charred than what I would have liked, but hey, it was still pretty darn good. 

Will I be back?

Duh.

But will it be anytime soon? Probably not, as I am hearing of this new taco hot-spot on the east side that I believe needs to be checked out soon."
El Pastor,side salad,"This was our first attempt at finding a good mexican restaurant in Madison.  The chips and salsa weren't great.  The salsa didnt seem very fresh but had a good kick.  I had the enchilada plate (one chees, two chicken with red and mole sauce.  My wife had the torta.  We also had a taco pastor, chile relleno and cheese quesadilla.
The enchiladas were horrible.  really nothing else to add about that.  the rice and beans were pretty good though.  Torta was excellent.  the taco was a little on the dry side and the relleno had very little spice.  cheese quesadilla was good, but it is pretty tough to screw that up.  The nite we were there they had $1.25 draft beer.  that was nice!!
In the end, I will definitely be trying other Mexican restaurants before going back."
El Pastor,side salad,"A second visit at 8:30 on a Monday night yielded good service, generous portions, and a great plate of chicken enchiladas rojas topped with a tasty cheese. The beans and rice were just as good as on my first visit and the little salad of iceberg lettuce, a slice of tomato, and sliced onion was fresh, crisp, and cold.

I'll definitely be back."
El Pastor,side salad,"Yes , it is better than other Mexican restaurants in Madison. But please don't expect the most authentic stuff. It's good food, but there isn't so much I can rave about.  OK margarita, ok tacos  - the meats on the tacos were little on the dry side, and I wished they had more homemade salsa rather than the bottled hot sauce.  Good volume on plates."
El Pastor,side salad,"El Pastor has consistently good food. Comfort food for me. I've had their tacos, quesadilla, salad, beans, rice, enchiladas, torta and many other items on their menu. Chicken or beef is my favorite. Mix and match for a custom plate. They have 5-10 lunch time specials too. Try the horchata. It is delicious. I keep saying that I want to try their flan, but usually I'm stuffed after the chips and salsa (3 kinds available) and then the meal. I should stop in one day for the flan and a horchata."
El Pastor,side salad,"This place is pretty straight forward. It's very much where the local Madison resident population hangs out/gets their food. I could see the food being less consistently good at times just because the place seems very informal. 

The price is right though and it hasn't bit me yet. Portions aren't too shabby and they have everything you might need.  Take a ride on the wild side, head done Park St. and give this simple but more authentic joint a chance."
El Pastor,side salad,"I live close to La Mestiza on Madison's west side, but I'd rather go to El Pastor. It's quieter, the staff is friendlier, and the food is great.

I've had several things off the menu (all good) but my favorite, by far, is the whole fried tilapia. It is exactly as billed - a whole fish, lightly floured and fried to perfection. It's fiddly food, to be sure - you're picking around a carcass. But it is absolutely delicious and well worth the effort. The fish comes with your choice of rice and beans, or salad and fries. Both options come with tortillas on the side, so you can make your own fish tacos, if you like. 

The margaritas are great - and are 2-for-1 on Wednesday evenings. They also have a variety of Mexican soft drinks (including Mexican Coca-Cola, made with sugar). And beer, of course.

My dining companion and I have been here so often, in fact, that we have a code for when one of us wants to go to El Pastor. We just say, ""Let's go eat a fish."" We always leave sated and happy."
Sa-Bai Thong West,74. veggie fried rice,"The pad Thai  is too soggy and wet, if a Thai restaurant can't make a reasonable Pad Thai, then they don't have good Thai food.
I went there twice, never want to go 3rd time,   the other rice noodles are tasteless also.
The services are slow.
But they have ok appetizers."
Sa-Bai Thong West,74. veggie fried rice,"We used to come here a lot. So much so the staff recognized us upon entry. There food and service were always good. However recently the prices, portion sizes, and flavor have not been up to par. It is a nicer Thai restaurant in the area with a cozy, inviting dining area. But the prices for what you get just aren't worth it anymore.

I used to get their Pad Thai which I used to enjoy but I've found a better place that is more tasty. I like my pad thai a little dryer. The pad thai here is more saucy and the noodles more slippery. We also enjoy many of their appetizers: crab rangoon, shrimp purse, Ming sabai, egg rolls, etc. There is also a noodle dish my husband and I both enjoy. It has wider rice noodles with a darker sauce and Thai basil. We ordered here a couple months ago to try it again and our usual Thai place is much better, significantly cheaper, and larger portions.

If you looking for a nicer dine-in place then its a good place to go. But we prefer other Thai restaurants in the area."
Sa-Bai Thong West,74. veggie fried rice,"Great first time here for dinner last night. 

Atmosphere was relaxing and quiet. It was only about 4 or 5 tables since it was an hour from closing when we arrived. Service was average.

We started with the Toong Thong for appetizer (Ground chicken, potato, carrot and onion wrapped with rice paper skin slightly deep fried to golden brown, served with house sauce). Bf's first time having Thai food and he enjoyed this. 

I had the Tom Yum soup, which is a little off from what I'm used to but it was overloaded with mushrooms and had a little spice to it. Officially one of my new favorite soups!

He had the curry fried rice with chicken. Didn't expect it to be as spicy as it was, but it was still VERY good. I had a few bites and even though it was a little too much onions, we'd definitely order it again.

It was a late dinner so I didn't get a chance to order a couple more things to introduce him to, but we'll definitely be back!"
