restName,dish_name,score
El Pastor,side salad,"[-1.8722222222222222, 3]"
Sa-Bai Thong West,74. veggie fried rice,"[-0.5, 1]"
Hooters,grilled chicken sandwich and wise choice salad,"[-0.16666666666666669, 2]"
Hooters,hooters original buffalo chicken salad,"[-0.16666666666666669, 2]"
Hooters,chicken caesar salad,"[-0.16666666666666669, 2]"
Hooters,buffalo chicken quesadilla,"[-0.16666666666666669, 2]"
Hooters,chicken breast strips,"[-0.16666666666666669, 2]"
Hooters,chicken garden salad,"[-0.16666666666666669, 2]"
Hooters,hooters original buffalo chicken dip,"[-0.16666666666666669, 2]"
Hooters,hooters original buffalo chicken sandwich,"[-0.16666666666666669, 2]"
Hooters,hooters original buffalo chicken tacos,"[-0.16666666666666669, 2]"
Hooters,hooters original chicken strip cheese sandwich,"[-0.16666666666666669, 2]"
Hooters,smothered chicken sandwich,"[-0.16666666666666669, 2]"
Nam's Noodle,k35. korean bbq short ribs,"[-0.2333333333333333, 2]"
The Taco Shop,side of cheese,"[-0.41666666666666663, 2]"
The Taco Shop,side of fresco cheese,"[-0.41666666666666663, 2]"
Buffalo Wild Wings,screamin' nacho burger,"[-0.5, 1]"
Buffalo Wild Wings,southwestern black bean burger,"[-0.5, 1]"
Buffalo Wild Wings,buffalo blue burger,"[-0.5, 1]"
Buffalo Wild Wings,boston lager burger,"[-0.5, 1]"
Buffalo Wild Wings,big jack daddy burger,"[-0.5, 1]"
Chili's,sweet corn on the cob,"[-0.7092731829573935, 1]"
Takara Japanese Restaurant,japanese soda,"[-0.5, 1]"
Francisco's Mexican Cantina,mole poblano,"[-0.06666666666666665, 2]"
People's Bakery,yogurt salad,"[-0.3333333333333333, 1]"
Dhaba Indian Bistro,gobhi paratha,"[-0.5, 1]"
Maharani Restaurant,non-vegetable dinner for 2,"[-0.5128205128205128, 5]"
Maharani Restaurant,vegetable dinner for 2,"[-0.5128205128205128, 5]"
Maharani Restaurant,saefood dinner special for 2,"[-0.5128205128205128, 5]"
Marrakesh,lunch beef shawarma sandwich,"[-0.8852813852813852, 4]"
Marrakesh,beef tagines,"[-0.8852813852813852, 4]"
Marrakesh,beef brochette,"[-0.8852813852813852, 4]"
Marrakesh,beef couscous,"[-0.8852813852813852, 4]"
Marrakesh,lunch beef shawarma,"[-0.8852813852813852, 4]"
Helbachs Coffee House,karma macchiato,"[-0.1111111111111111, 1]"
Great China,plain fried rice,"[-0.41666666666666663, 3]"
Great China,steamed white rice,"[-0.41666666666666663, 3]"
Great China,shrimp fried rice,"[-0.41666666666666663, 3]"
Great China,vegetable fried rice,"[-0.41666666666666663, 3]"
Great China,roast pork fried rice,"[-0.41666666666666663, 3]"
Great China,house special fried rice,"[-0.41666666666666663, 3]"
Great China,ham fried rice,"[-0.41666666666666663, 3]"
Itzza Pizza,side of mild peppers- pepperoncini,"[-0.020514163256098783, 3]"
The Brass Ring,veggie pita sandwich,"[-0.3333333333333333, 1]"
The Brass Ring,grilled wild salmon sandwich,"[-0.3333333333333333, 1]"
The Brass Ring,soup of the day,"[-0.3333333333333333, 1]"
The Brass Ring,roast beef sandwich au jus,"[-0.3333333333333333, 1]"
The Brass Ring,smokestacker sandwich,"[-0.3333333333333333, 1]"
The Brass Ring,tuna steak sandwich,"[-0.3333333333333333, 1]"
The Brass Ring,tuna melt sandwich,"[-0.3333333333333333, 1]"
The Brass Ring,grilled cheese sandwich,"[-0.3333333333333333, 1]"
The Brass Ring,reuben sandwich,"[-0.3333333333333333, 1]"
The Brass Ring,california chicken sandwich,"[-0.3333333333333333, 1]"
The Brass Ring,steak sandwich,"[-0.3333333333333333, 1]"
Roman Candle Pizzeria,garlic bread and house-made marinara,"[-0.21249999999999997, 3]"
Joey's Seafood & Grill,bbq brisket beans,"[-0.6333333333333333, 4]"
Asian Kitchen,66. dry sauteed string bean,"[-1.037037037037037, 1]"
China Wok,69. beef with snow peas,"[-0.3787878787878788, 2]"
Domino's Pizza,20 oz. soda,"[-0.5, 1]"
Domino's Pizza,2 liter soda,"[-0.5, 1]"
Taqueria Guadalajara,hurache mexicano,"[-0.09523809523809523, 2]"
Madistan,fish sandwich,"[-0.35582010582010576, 2]"
Pita Pit,falafel,"[-0.25, 1]"
Rocky Rococo,wheat n' meat,"[-0.478968253968254, 1]"
Asian House,lo mein lunch special,"[-1.0, 1]"
Asian House,lo mein special combination,"[-1.0, 1]"
IHOP,bananas foster brioche french toast,"[-0.7064102564102563, 2]"
IHOP,bananas foster french toast,"[-0.7064102564102563, 2]"
Taj Indian Restaurant,arizona green tea,"[-0.3666666666666667, 2]"
Rosati's Pizza,spinach and tomato garlic bread,"[-0.45833333333333304, 7]"
A8 China,28. roast pork fried rice,"[-1.5564324116743473, 8]"
Fugu,37. tom yum soup,"[-0.4722222222222221, 4]"
Fugu,31. tomato and egg soup,"[-0.4722222222222221, 4]"
Fugu,32. vermicelli and pickled cabbage soup,"[-0.4722222222222221, 4]"
OM Indian Fusion Cuisine,salt lassi,"[-0.1285714285714286, 2]"
OM Indian Fusion Cuisine,sweet lassi,"[-0.1285714285714286, 2]"
Soga Shabu Shabu,2. farm-style fried pork bento box,"[-1.6333333333333333, 3]"
Soga Shabu Shabu,8. double cooked sliced pork bento box,"[-1.6333333333333333, 3]"
Soga Shabu Shabu,133. mao-style stewed pork,"[-1.6333333333333333, 3]"
Soga Shabu Shabu,93. fried salted pork,"[-1.6333333333333333, 3]"
Soga Shabu Shabu,5. pan-fried pork intestine bento box,"[-1.6333333333333333, 3]"
Soga Shabu Shabu,103. farm-style fried pork,"[-1.6333333333333333, 3]"
Soga Shabu Shabu,20. sauteed pickled beans with minced pork bento box,"[-1.6333333333333333, 3]"
Soga Shabu Shabu,3. red braised pork bento box,"[-1.6333333333333333, 3]"
Ichiban Sichuan,sauteed cow stomach,"[-1.0714285714285714, 2]"
Yola's Cafe,kid's sausage and egg,"[-1.0588235294117647, 2]"
Crostini Sandwiches,dasani bottled water,"[-0.2, 1]"
Crostini Sandwiches,san pellegrino sparkling water,"[-0.2, 1]"
Chang Jiang,cold sesame noodles,"[-0.5, 2]"
Happy Wok,4 piece crab rangoon,"[-0.3333333333333333, 1]"
Burrito Drive,black beans,"[-2.5749999999999997, 4]"
Taqueria El Jalapeño,tamale,"[-0.16666666666666666, 1]"
El Bolillo Bakery,burrito,"[-0.0625, 1]"
Brothers Three Bar & Grill,bottled of water,"[-0.1, 1]"
The Roman Candle Pizzeria,garlic hummus and potter's organic crackers,"[-0.5, 1]"
Edo Garden Monona,flying fish roe,"[-2.4444444444444446, 3]"
Silver Mine Subs,1. bacon breakfast burrito,"[-1.0, 1]"
