restName,dish_name,score
Tana Ethiopian Cuisine,tana sampler,"[4.017676767676768, 16]"
Tana Ethiopian Cuisine,injera,"[7.310734221918432, 27]"
Tana Ethiopian Cuisine,vegetarian sampler,"[4.1246212121212125, 15]"
Korea Garden,spicy seafood soup with vegetables,"[8.653968253968253, 24]"
Korea Garden,seafood fried rice,"[6.758333333333333, 20]"
Korea Garden,shrimp fried rice,"[3.9, 14]"
Katana,sushi and sashimi lunch special,"[21.584278732962936, 47]"
Katana,sushi appetizer,"[21.560108458792662, 46]"
Katana,sushi lunch special,"[21.584278732962936, 47]"
B52 Cafe,falafel salad,"[5.505982905982907, 15]"
B52 Cafe,falafel sandwich,"[5.552777777777778, 14]"
B52 Cafe,soup of the day,"[4.996857717445952, 10]"
Orient Express,flavored black tea,"[3.325, 11]"
Orient Express,flavored green tea,"[3.325, 11]"
Orient Express,hot tea,"[3.325, 11]"
Orient Express,ma po tofu lunch special,"[3.489285714285714, 14]"
Orient Express,cold tea,"[3.325, 11]"
Dijlah Restaurant,chicken shawarma plate,"[4.163299200799201, 13]"
Dijlah Restaurant,iraqi chicken kebab plate,"[5.546663059163058, 20]"
Dijlah Restaurant,chicken shawarma saj sandwich,"[4.225203962703963, 11]"
McFadden's Saloon,the steel city burger,"[2.0344827586206895, 2]"
McFadden's Saloon,kansas city nachos,"[2.0, 1]"
McFadden's Saloon,potato chips,"[0.8333333333333333, 2]"
Say Cheese! Pizza,white sicilian pizza,"[5.947023809523809, 9]"
Say Cheese! Pizza,deluxe pizza,"[5.947023809523809, 9]"
Say Cheese! Pizza,taco pizza,"[5.947023809523809, 9]"
Say Cheese! Pizza,meaty delight pizza,"[5.947023809523809, 9]"
Say Cheese! Pizza,pulled pork bbq pizza,"[5.947023809523809, 9]"
Say Cheese! Pizza,chicken and honey dijon pizza,"[5.947023809523809, 9]"
Say Cheese! Pizza,buy any large traditional 2-topping pizza with free breadsticks,"[5.947023809523809, 9]"
Say Cheese! Pizza,hawaiian pizza,"[5.947023809523809, 9]"
Say Cheese! Pizza,5-cheese pizza,"[5.947023809523809, 9]"
Say Cheese! Pizza,pan pizza,"[6.197023809523809, 10]"
Say Cheese! Pizza,buffalo style chicken pizza,"[5.947023809523809, 9]"
Say Cheese! Pizza,sicilian pizza,"[5.947023809523809, 9]"
Say Cheese! Pizza,bbq chicken pizza,"[6.197023809523809, 10]"
Say Cheese! Pizza,pittsburgh pierogie pizza,"[5.947023809523809, 9]"
Say Cheese! Pizza,vegetarian pizza,"[5.947023809523809, 9]"
Say Cheese! Pizza,cheesy french fry pizza,"[5.947023809523809, 9]"
Say Cheese! Pizza,chicken and bacon ranchero pizza,"[5.947023809523809, 9]"
Say Cheese! Pizza,steak ranchero pizza,"[5.947023809523809, 9]"
Say Cheese! Pizza,traditional white pizza,"[5.947023809523809, 9]"
Say Cheese! Pizza,traditional pizza,"[5.947023809523809, 9]"
Say Cheese! Pizza,white pan pizza,"[5.947023809523809, 9]"
India Garden,34. onion naan,"[4.55515873015873, 10]"
India Garden,38. kabuli naan,"[4.55515873015873, 10]"
India Garden,29. naan,"[4.55515873015873, 10]"
India Garden,42. chicken naan,"[4.976482259570496, 13]"
India Garden,37. palak naan,"[4.55515873015873, 10]"
India Garden,35. garlic naan,"[4.602287581699346, 10]"
India Garden,36. aloo naan,"[4.55515873015873, 10]"
The Foundry Table & Tap,kid's baby greens salad,"[4.466666666666667, 5]"
The Foundry Table & Tap,the foundry burger brunch,"[4.313827838827839, 16]"
The Foundry Table & Tap,kale and romaine caesar salad dinner,"[4.521428571428571, 10]"
Eat Unique,chicken salad sandwich,"[16.661996692724248, 47]"
Eat Unique,half chicken salad sandwich combo,"[17.20745123817879, 49]"
Eat Unique,pesto chicken sandwich,"[16.679719360446914, 49]"
Sun Penang,chicken feet with black bean sauce,"[7.447378527269831, 30]"
Sun Penang,penang satay chicken,"[10.912670385170385, 40]"
Sun Penang,penang satay beef,"[7.373412698412699, 30]"
Caliente Pizza & Draft House,large 1-topping pizza and 10 wings special,"[12.366987179487179, 32]"
Caliente Pizza & Draft House,large 1-topping pizza and a 12-inch sub special,"[11.041555183946487, 29]"
Caliente Pizza & Draft House,large 1-topping pizza special,"[11.041555183946487, 29]"
Caliente Pizza & Draft House,any large gourmet pizza special,"[11.141555183946487, 30]"
DiAnoia's Eatery,iced coffee,"[2.417099567099567, 6]"
DiAnoia's Eatery,drip coffee,"[2.417099567099567, 6]"
DiAnoia's Eatery,pasta salad,"[4.94403086593489, 9]"
Taj Mahal,onion naan,"[10.78106101414925, 26]"
Taj Mahal,garlic naan,"[11.491017724105959, 28]"
Taj Mahal,butter naan,"[11.114394347482584, 27]"
The Pitt Stop,cheese fries,"[0.5416666666666667, 3]"
The Pitt Stop,loaded fries,"[1.0, 1]"
The Pitt Stop,french fries,"[1.0, 1]"
Smallman Street Deli,signature corned beef sandwich,"[18.01711621711621, 36]"
