restName,dish_name,review
Tana Ethiopian Cuisine,azifa,"the Azifa, a cold lentil salad, could have been some obscure Mediterranean or Arabic dish had I eaten blindly."
Korea Garden,jumbo shrimp in lobster sauce,"the jia jiang mien tasted like spaghetti mixed in with some bland sauce and the kam poong-gi was disgustingly soggy and sticky, and overloaded with chopped carrots."
Korea Garden,jumbo shrimp in lobster sauce,"other outstanding dishes were the cham pong (spicy seafood noodle soup), soon du bu (soft tofu soup), kim chi jii gae (kimchi stew), bul go gi (marinated beef), ja jang myun (noodles in peking sauce), tang soo yook (sweet and sour beef) and the sweet and sour chicken."
Korea Garden,jumbo shrimp in lobster sauce,"the sauce, the crunchiness, just everything is SO good!"
Korea Garden,jumbo shrimp in lobster sauce,"the chicken was something straight out of an Americanized Chinese take-out place, consisting of fried and breaded pieces smothered in a thick, sweet sauce with some vegetables sprinkled in for good measure."
Korea Garden,jumbo shrimp in lobster sauce,"some of the chicken pieces were almost completely dry, whereas others were gooey from sitting in the sauce, making for an inconsistent and undesirable texture."
Korea Garden,jumbo shrimp in lobster sauce,"spicy soup ,Shrimp fried rice and Teriyaki were so good."
Korea Garden,jumbo shrimp in lobster sauce,"my only complaint was that the steak was well done; otherwise, the shrimp and mushrooms were good."
Katana,chicken and vegetable tempura,vegetables in terriyaki chicken were cold.
Katana,chicken and vegetable tempura,"bento boxes, sushi, tempura, lo mein, mu shu, hot and sour soup - so many great options."
Katana,chicken and vegetable tempura,"I ordered general Tao tofu and tempura vegetable
And hibachi vegetable and all were terrible."
Katana,chicken and vegetable tempura,the general Tao sauce was runny like water and the tempura vegetable was a robbery.
Katana,chicken and vegetable tempura,"the all white chicken pieces were mostly bite size, and the sauce was good."
B52 Cafe,za'atar fries,my niece ordered the Za'atar flat bread.
Orient Express,general tso's fish,"and if you can't enjoy a good General Tso's Chicken because it isn't ""authentic"" - something is wrong with you (and maybe you can have an aneurism at the thought that General Tso's has been exported back to the old country and is being served in Taiwan)."
Dijlah Restaurant,baklava,"the baklava was as chewy, nutty, and sticky as a Snicker bar with an edible, paper casing, making it a primer on this kind of pastry."
McFadden's Saloon,guiness cheese dip,"they do have a ""build a hoagie/salad"" checklist, which was ok.  For a Catholic during lent, it was hard to find anything without meat - or without fries or cheese, for those watching their figures."
McFadden's Saloon,guiness cheese dip,"the food's not Irish, The Guiness is flat and the Bar keep looks at you funny if you ask for a Black and Tan."
Say Cheese! Pizza,grilled salmon salad,"the salad was the best thing I ordered, so I was very glad that it wasn't warm."
Say Cheese! Pizza,grilled salmon salad,and the french fries on the salad were cold.
Say Cheese! Pizza,grilled shrimp caesar salad,"the salad was the best thing I ordered, so I was very glad that it wasn't warm."
Say Cheese! Pizza,grilled shrimp caesar salad,and the french fries on the salad were cold.
Say Cheese! Pizza,chef salad,"the salad was the best thing I ordered, so I was very glad that it wasn't warm."
Say Cheese! Pizza,chef salad,and the french fries on the salad were cold.
Say Cheese! Pizza,small garden salad,"the salad was the best thing I ordered, so I was very glad that it wasn't warm."
Say Cheese! Pizza,small garden salad,and the french fries on the salad were cold.
Say Cheese! Pizza,large garden salad,"the salad was the best thing I ordered, so I was very glad that it wasn't warm."
Say Cheese! Pizza,large garden salad,and the french fries on the salad were cold.
Say Cheese! Pizza,antipasto salad,"the salad was the best thing I ordered, so I was very glad that it wasn't warm."
Say Cheese! Pizza,antipasto salad,and the french fries on the salad were cold.
Say Cheese! Pizza,barbecue chicken salad,"the salad was the best thing I ordered, so I was very glad that it wasn't warm."
Say Cheese! Pizza,barbecue chicken salad,and the french fries on the salad were cold.
Say Cheese! Pizza,chicken salad,"the salad was the best thing I ordered, so I was very glad that it wasn't warm."
Say Cheese! Pizza,chicken salad,and the french fries on the salad were cold.
Say Cheese! Pizza,home-made classic beef lasagna and salad,"the salad was the best thing I ordered, so I was very glad that it wasn't warm."
Say Cheese! Pizza,home-made classic beef lasagna and salad,and the french fries on the salad were cold.
