restName,dish_name,score
Tana Ethiopian Cuisine,azifa,"[-0.5, 1]"
Korea Garden,jumbo shrimp in lobster sauce,"[-0.0007936507936507908, 7]"
Katana,chicken and vegetable tempura,"[-0.6646464646464645, 5]"
B52 Cafe,za'atar fries,"[-1.0, 1]"
Orient Express,general tso's fish,"[-0.5416666666666666, 1]"
Dijlah Restaurant,baklava,"[-0.3333333333333333, 1]"
McFadden's Saloon,guiness cheese dip,"[-0.5909090909090909, 2]"
Say Cheese! Pizza,grilled salmon salad,"[-0.16666666666666669, 2]"
Say Cheese! Pizza,grilled shrimp caesar salad,"[-0.16666666666666669, 2]"
Say Cheese! Pizza,chef salad,"[-0.16666666666666669, 2]"
Say Cheese! Pizza,small garden salad,"[-0.16666666666666669, 2]"
Say Cheese! Pizza,large garden salad,"[-0.16666666666666669, 2]"
Say Cheese! Pizza,antipasto salad,"[-0.16666666666666669, 2]"
Say Cheese! Pizza,barbecue chicken salad,"[-0.16666666666666669, 2]"
Say Cheese! Pizza,chicken salad,"[-0.16666666666666669, 2]"
Say Cheese! Pizza,home-made classic beef lasagna and salad,"[-0.16666666666666669, 2]"
Say Cheese! Pizza,gyro salad,"[-0.16666666666666669, 2]"
Say Cheese! Pizza,grilled steak and chicken combo salad,"[-0.16666666666666669, 2]"
Say Cheese! Pizza,steak salad,"[-0.16666666666666669, 2]"
Say Cheese! Pizza,buffalo chicken salad,"[-0.16666666666666669, 2]"
Say Cheese! Pizza,greek salad,"[-0.16666666666666669, 2]"
Say Cheese! Pizza,taco salad,"[-0.16666666666666669, 2]"
Say Cheese! Pizza,chicken caesar salad,"[-0.16666666666666669, 2]"
Say Cheese! Pizza,mandarin chicken salad,"[-0.16666666666666669, 2]"
Sun Penang,perrier water,"[-0.8333333333333334, 1]"
Caliente Pizza & Draft House,5 cheese calzone,"[-0.75, 3]"
DiAnoia's Eatery,ham and cheese panini,"[-0.22380952380952382, 2]"
Taj Mahal,236. sweet lassi,"[-0.3904761904761906, 4]"
Taj Mahal,236. salted lassi,"[-0.3904761904761906, 4]"
